full_text,casefolding,clean_text,tokenized,no_stopwords,stemmed,final_text
@JukiHoki Jadi MBG min... https://t.co/AbXHsQvMd6,@jukihoki jadi mbg min... https://t.co/abxhsqvmd6,jadi mbg min,"['jadi', 'mbg', 'min']","['mbg', 'min']","['mbg', 'min']",mbg min
@ryeonseunggg @52XYZ @ARSIPAJA konteks MBG untuk perbaikan gizi gizi apa yang segitu mana sekarang bahan baku pangan melambung tinggi banget kecuali sasaran lokasi 3T mungkin bisa dikatakan meningkatkan gizi tp klo di perkotaan kayanya lebih baik masakan sendiri,@ryeonseunggg @52xyz @arsipaja konteks mbg untuk perbaikan gizi gizi apa yang segitu mana sekarang bahan baku pangan melambung tinggi banget kecuali sasaran lokasi 3t mungkin bisa dikatakan meningkatkan gizi tp klo di perkotaan kayanya lebih baik masakan sendiri,konteks mbg untuk perbaikan gizi gizi apa yang segitu mana sekarang bahan baku pangan melambung tinggi banget kecuali sasaran lokasi t mungkin bisa dikatakan meningkatkan gizi tp klo di perkotaan kayanya lebih baik masakan sendiri,"['konteks', 'mbg', 'untuk', 'perbaikan', 'gizi', 'gizi', 'apa', 'yang', 'segitu', 'mana', 'sekarang', 'bahan', 'baku', 'pangan', 'melambung', 'tinggi', 'banget', 'kecuali', 'sasaran', 'lokasi', 't', 'mungkin', 'bisa', 'dikatakan', 'meningkatkan', 'gizi', 'tp', 'klo', 'di', 'perkotaan', 'kayanya', 'lebih', 'baik', 'masakan', 'sendiri']","['konteks', 'mbg', 'perbaikan', 'gizi', 'gizi', 'segitu', 'bahan', 'baku', 'pangan', 'melambung', 'banget', 'kecuali', 'sasaran', 'lokasi', 't', 'meningkatkan', 'gizi', 'tp', 'klo', 'perkotaan', 'kayanya', 'masakan']","['konteks', 'mbg', 'baik', 'gizi', 'gizi', 'segitu', 'bahan', 'baku', 'pangan', 'lambung', 'banget', 'kecuali', 'sasar', 'lokasi', 't', 'tingkat', 'gizi', 'tp', 'klo', 'kota', 'kaya', 'masakan']",konteks mbg baik gizi gizi segitu bahan baku pangan lambung banget kecuali sasar lokasi t tingkat gizi tp klo kota kaya masakan
@tempodotco Lah kenapa? Nasi 10rb dsni udh enak. Dpt ayam telor sayur sambel kerupuk. Bergizi kok itu. Masalahnya dana yg dikasih prabowo engga 10rb per porsi karena tetangga gw ngelola mbg,@tempodotco lah kenapa? nasi 10rb dsni udh enak. dpt ayam telor sayur sambel kerupuk. bergizi kok itu. masalahnya dana yg dikasih prabowo engga 10rb per porsi karena tetangga gw ngelola mbg,lah kenapa nasi rb dsni udh enak dpt ayam telor sayur sambel kerupuk bergizi kok itu masalahnya dana yg dikasih prabowo engga rb per porsi karena tetangga gw ngelola mbg,"['lah', 'kenapa', 'nasi', 'rb', 'dsni', 'udh', 'enak', 'dpt', 'ayam', 'telor', 'sayur', 'sambel', 'kerupuk', 'bergizi', 'kok', 'itu', 'masalahnya', 'dana', 'yg', 'dikasih', 'prabowo', 'engga', 'rb', 'per', 'porsi', 'karena', 'tetangga', 'gw', 'ngelola', 'mbg']","['nasi', 'rb', 'dsni', 'udh', 'enak', 'dpt', 'ayam', 'telor', 'sayur', 'sambel', 'kerupuk', 'bergizi', 'dana', 'yg', 'dikasih', 'prabowo', 'engga', 'rb', 'porsi', 'tetangga', 'gw', 'ngelola', 'mbg']","['nasi', 'rb', 'dsni', 'udh', 'enak', 'dpt', 'ayam', 'telor', 'sayur', 'sambel', 'kerupuk', 'gizi', 'dana', 'yg', 'kasih', 'prabowo', 'engga', 'rb', 'porsi', 'tetangga', 'gw', 'ngelola', 'mbg']",nasi rb dsni udh enak dpt ayam telor sayur sambel kerupuk gizi dana yg kasih prabowo engga rb porsi tetangga gw ngelola mbg
@blossomjarr gakan keracunan kan bukan menu mbg. ‍,@blossomjarr gakan keracunan kan bukan menu mbg. ‍,gakan keracunan kan bukan menu mbg,"['gakan', 'keracunan', 'kan', 'bukan', 'menu', 'mbg']","['gakan', 'keracunan', 'menu', 'mbg']","['gakan', 'racun', 'menu', 'mbg']",gakan racun menu mbg
@ifti_tahida MBG naik level dimulai dengan tingkatkan mutunya bareng Prabowo,@ifti_tahida mbg naik level dimulai dengan tingkatkan mutunya bareng prabowo,mbg naik level dimulai dengan tingkatkan mutunya bareng prabowo,"['mbg', 'naik', 'level', 'dimulai', 'dengan', 'tingkatkan', 'mutunya', 'bareng', 'prabowo']","['mbg', 'level', 'tingkatkan', 'mutunya', 'bareng', 'prabowo']","['mbg', 'level', 'tingkat', 'mutu', 'bareng', 'prabowo']",mbg level tingkat mutu bareng prabowo
Woooiii Santri cuma Bayar 400rb untuk makan 3 kali sehari selama 30 hari...gak cukup kiyai tombok ituu... MBG yang dapat makan siang keracunan itu saja habiskan anggaran 30 juta per 10 hari... @TRANS7 @TRANSTV_CORP pakai otak dong...,woooiii santri cuma bayar 400rb untuk makan 3 kali sehari selama 30 hari...gak cukup kiyai tombok ituu... mbg yang dapat makan siang keracunan itu saja habiskan anggaran 30 juta per 10 hari... @trans7 @transtv_corp pakai otak dong...,woooiii santri cuma bayar rb untuk makan kali sehari selama harigak cukup kiyai tombok ituu mbg yang dapat makan siang keracunan itu saja habiskan anggaran juta per hari pakai otak dong,"['woooiii', 'santri', 'cuma', 'bayar', 'rb', 'untuk', 'makan', 'kali', 'sehari', 'selama', 'harigak', 'cukup', 'kiyai', 'tombok', 'ituu', 'mbg', 'yang', 'dapat', 'makan', 'siang', 'keracunan', 'itu', 'saja', 'habiskan', 'anggaran', 'juta', 'per', 'hari', 'pakai', 'otak', 'dong']","['woooiii', 'santri', 'bayar', 'rb', 'makan', 'kali', 'sehari', 'harigak', 'kiyai', 'tombok', 'ituu', 'mbg', 'makan', 'siang', 'keracunan', 'habiskan', 'anggaran', 'juta', 'pakai', 'otak']","['woooiii', 'santri', 'bayar', 'rb', 'makan', 'kali', 'hari', 'harigak', 'kiyai', 'tombok', 'ituu', 'mbg', 'makan', 'siang', 'racun', 'habis', 'anggar', 'juta', 'pakai', 'otak']",woooiii santri bayar rb makan kali hari harigak kiyai tombok ituu mbg makan siang racun habis anggar juta pakai otak
kata kiti hiu mbg........ https://t.co/IUpFP9wFFy,kata kiti hiu mbg........ https://t.co/iupfp9wffy,kata kiti hiu mbg,"['kata', 'kiti', 'hiu', 'mbg']","['kiti', 'hiu', 'mbg']","['kit', 'hiu', 'mbg']",kit hiu mbg
@anomyhae @paivting MBG juga apa kabar ?,@anomyhae @paivting mbg juga apa kabar ?,mbg juga apa kabar,"['mbg', 'juga', 'apa', 'kabar']","['mbg', 'kabar']","['mbg', 'kabar']",mbg kabar
Mbappe mangan MBG,mbappe mangan mbg,mbappe mangan mbg,"['mbappe', 'mangan', 'mbg']","['mbappe', 'mangan', 'mbg']","['mbappe', 'mangan', 'mbg']",mbappe mangan mbg
@meliksumanandar @paivting Cmn asal punya ide aja... urusin aja tuh MBG apa masih kurang cuan ?,@meliksumanandar @paivting cmn asal punya ide aja... urusin aja tuh mbg apa masih kurang cuan ?,cmn asal punya ide aja urusin aja tuh mbg apa masih kurang cuan,"['cmn', 'asal', 'punya', 'ide', 'aja', 'urusin', 'aja', 'tuh', 'mbg', 'apa', 'masih', 'kurang', 'cuan']","['cmn', 'ide', 'aja', 'urusin', 'aja', 'tuh', 'mbg', 'cuan']","['cmn', 'ide', 'aja', 'urusin', 'aja', 'tuh', 'mbg', 'cuan']",cmn ide aja urusin aja tuh mbg cuan
