DATA,LABEL
mbappe mangan mbg,negative
cmn ide aja urusin aja tuh mbg cuan,negative
mbg hasil gaada jelas indikator output outcome ngukur hasil,negative
bilang tuh maksud hati nasi kuning or nasi uduk etis mbg nasi kuning nasi uduk kenyang,negative
mbg bangsa bangun anakanak sehat,positive
program mbg hadir anak tumbuh sehat kuat,positive
mbg anak ajar perut kosong,negative
program mbg jamin anak hak gizi imbang,positive
mbg anakanak tumbuh cerdas kuat bahagia,positive
mbg tumbuh semangat sehat sekolah indonesia,positive
program mbg kuat citacita indonesia bebas stunting,positive
mbg wujud adil gizi pelosok negeri,positive
mbg bukti kuat gizi,positive
program mbg sekolah ajar tumbuh sehat,positive
mbg kuat pondasi generasi emas indonesia,positive
mbg anakanak ajar semangat hati gembira,positive
gue sih mending bawa bekel rumah ketimbang ngandelin mbg yg gak amit kalo anak gue sekolah program duh sampe deh,negative
bu kah uang pajak rakyat lo kemanain mbg diutamain sehat sekarat,negative
bunuh siswa indonesia mbg sukses tikus tiongkok bebas curi wilayah ri tambang emas dll puluh ribu trilyun rupiah puluh lanjut pajak,negative
tingkat mutu mbg yuk biar dampak nyata ala prabowo,positive
biar niat kalah fitnah mbg amp bgn langkah indonesia bebas gizi buruk,positive
mbg wujud indonesia stunting langkah piring,negative
program mbg gizi halang mimpi anakanak,negative
depan mbg gin aja biar hemat,neutral
stop gak mbg,negative
khusus mbg sma negeri cimarga tolong tambah batang rokok biar makan langsung udud cc,negative
ya klo nama mbg kak mg aja alias makan gratis,neutral
stop mbg berpitensi korupsi,negative
tingkat mutu mbg konsisten hasil mantap bareng prabowo,neutral
mutu mbg konsisten bareng prabowo,positive
klw yg narasi buruk tetang mbg tanda mrk tdk suka liat bngsa ni majukrn program stdkya sdh mnciptkan lapang kerja masyarakt byk jln trus prabowo klw kerah tni utk mnjaga dapur mbg tdk sabotase,neutral
gx faham gweh makan tinggal maaaakaaaan kalaw menu mbg lukh aph,neutral
survei opini publik dukung kuat mbg responden nila manfaat alam reses habiburokhman cermin sentimen masyarakat proprogram afiliasi gerindra pengaruh data bps survei independen dukung,neutral
mbg solusi,neutral
ayam telur kemarin mbg emang ga sehat sempurna target,negative
yaudah lu makan mbg aja gimana,neutral
mutu mbg keren bikin bangga umat bareng prabowo,positive
dasar otak udang sdh byk racun mbg sampe tinggal bilang fitnah,negative
masalah mbg korupsi lagiiii yg bikin mbg stop gak maksimal buang anggar,negative
mari bukti mbg kuat dukung politik hasil rakyat,positive
kerja nyata wacana jaga lanjut mbg,neutral
mbg hehe,neutral
diare gara mbg,negative
tuju evaluasi henti mbg rugi anakanak bantu,negative
program mbg bukti bikin anak sehat kerja dapur sppg daya hasil baik lanjut,positive
tingkat mutu mbg mudah kalo kompak tim prabowo,neutral
komisi d dprd ciamis guru masyarakat awas program mbg,neutral
mbg manfaat beban negara,negative
inovasi mutu mbg jalan iring bareng prabowo,neutral
porsi ayam menu mie ayam soto ayam ayam suir telur puyuh emang anggar porsi selenggara dapur mbg sabar kembali modal profit,neutral
sak umur jarang mbuak pangan saiki rajin mbuak karna anak nggowo balek menu mbg ne asli ga kolu mangan sumpaaahhh,negative
iki seng dodol pitik panggah mumet nyuk mbg rekues pitik cut mangan balung po pie,negative
makan mbg jatah sekolahe ibu digowo bal karna miskom gitu menu nasi pisang goreng tepung dada fillet pedas selamat nasi pisang yaudah masak nasi goreng pake nasi mbg tekstur bagus bgt nasgor,positive
better nasi kucing angkring banding mbg,negative
mbg telat pas istirahat,neutral
seru hapus mbg akal kayak gimana gk lauk protein hewani susu vitamin serat sayur buah kuat bayar k nalar mbok dinggo udahlah batalin aja program mahal tinja paksa,negative
mutu mbg kelas berkat kolaborasi bareng prabowo,positive
moga prabowo kena azab racun mbg,negative
mbg makan korban sumatera utara,negative
biaya hak layak guru dosen mahal banding biaya mbg masak kayak gitu bangsa,neutral
korban mbg sumut,negative
kalo wujud cinta bangun dapur sistem rakyat warga rt rayon daya sistem cerdas win modal institusi kait dadak an buka dapur mbg,neutral
oalah mbg,neutral
adik gw sekolah dapet mbg basi sih pegawai ga cek at least cium kasih basi gak ih,negative
pasrahin dapet mbg,neutral
mam nasi sayap abbys drpd mbg gak niat,negative
sales mbg knpa maksa bgt kyk sales mlm dah,negative
mbg kacau,negative
ahh mbg,neutral
mbg lanjut beban negara,negative
emakemak suara indonesia aksi demonstrasi moratorium mbg kantor bgn rabu gimana hasil,neutral
anak lo cucu lo racun mbg aja besok lo kasih tuh mbg bloon rumah aja ngayap,negative
sebenernya nggak salah pres banyak ayam porsi mbg iris daging ayam telur rb ya masuk akal,neutral
nasi goreng nya bekas mbg sd tangsel ya ka,negative
tolong henti mbg harga butuh pokok mahal usahawan rumah tangga susah dekat krusial natal next puasa n lebaran harga korban racun guru skrg byk buang ngurus makan,negative
bahas kantin sekolah yg kena pajak timbul ribut salah biar mati yg guna tp milik dapur,negative
mah tau mbg teh makan racun gratis,negative
mbg approved,positive
udah curang emang dapur mbg,negative
mbg manfaat beban negara,negative
eh gila gw lupa kalo kouta ajar gratis is a thing eh wo drpd mbg mending kuota gratis kayak program ganjar kayak ya nyedian wifi gratis huft,neutral
mending duit lu dipake patungan mbg dah biar ga ngabisin anggar negara,negative
racun mbg anggap wajar tolol nyalahin siswa,negative
program mbg bisnis orang kalo udah biasa bohong emang congor ringan banget kalo ngomong sangka rakyat indonesia bego banget kayak wapres,negative
jujur mbg aktif dapur langsung ngeborong bahan pangan bagus tani pasti produk jual efek harga mahal masyrakat telur gak tyurun turun,neutral
program mbg koperasi merah putih bukti perhati nyata perintah papua,positive
makan mbg,neutral
sppg kelola kodim tuban masalah faktor lalai ambil untung setor,neutral
cuaca panas telinga panas cuman nasi mbg dingin,neutral
kutuk tukang palak program mbg,negative
kuliyah kpn yh dpt mbg,neutral
update wib data keracunanmakanan basi mbg indonesia nganjuk jatim indramayu jabar sukoharjo jateng nunukan kaltara tebingtinggi sumut lawang sumsel,neutral
emang gabisa ya mbg mam nya dumsim,neutral
program mbg gagas presiden prabowo buka harap anakanak pelosok negeri gizi imbang makan gizi bangsa tumbuh generasi kuat sehat,positive
mutu mbg mudah bareng prabowoyuk barengbareng tingkat mutu mbg prabowo,positive
badan gizi nasional terap skema saji menu program makan gizi gratis serta didik sekolah kabupaten najam paser utara provinsi kalimantan timur,neutral
lagilagi racun mbg rabu oktober,negative
iya habis makan mbg kayak ngantuk ngefly gitu eh malemnya demam,negative
mbg pas mapel samasama kenyanggg,positive
kerja butuh mbg,neutral
mbg kacau adain evaluasi kerahin buzzer,negative
menu mbg banten kaleng kaleng rakyat bego gubernur dongok,negative
lagilagi insiden racun makan gizi gratis mbg puluh siswa smp negeri cisarua bandung barat alami gejala mual muntah santap menu mbg sekolah,negative
suami sial mah suguhin mbg aja,negative
mbg tuh isi,neutral
yg jual nasi bekal harga rb jg ratarata pake packing thinwall inti dana rb nyampe dapur utuh mah ga porsi mbg,negative
lu gila yee ahok mbg dibandingin sm paket mekdi,negative
eh kemarin berita tasik kasih goceng terima mbg pas konfirmasi bilang ikhlas mah jatohnya aja kayak beli makan gizi gratis,negative
evaluasi mbg solusi jangka gizi peluang kerja sektor dapur sppg,positive
gatau ya gimana data yg share rekan dapur mbg anggar rb biaya operasional dapur mbg rp porsi alokasi biaya seharihari listrik air gaji karyawan transportasi awat puluh juta rupiah,neutral
bom kelar racun timbul harga ayam mahal alas dapur mbg langsung ambil ayam ternak stok ayam ternak dagang tip,negative
baik lanjut mbg bikin kerja dapur sppg daya anak sehat cerah,positive
the real mbg rakyat ngempani rakyat,negative
cosplay mbg,neutral
cemen banget dah tuh ribu anak racun mbg yg lapor polisi lu gampar doang jg lu salah gaya pake bawa hukum,negative
fitnah mbg gimana korban racun nya daerah hari tembus ribu korban,negative
saran mbg banten kasih tambah batang surya anak anak suka abis makan sebat,negative
nampan mbg,neutral
puluh ajar smp tumbang lari puskemas laguboti duga krcunn mbg,negative
mending baik mbg,positive
terus proses mbg kek gin sy pikir sdh mubazir krn orang tua larang anak suruh buang jatah mbg utk anak krn takut racun,negative
sikat abis dukung mbg mantul,positive
tingkat mutu mbg bareng prabowo,positive
laper banget mbg plis,neutral
ratus siswa smpn ambarawa suka cita terima mbg,positive
mbak mbg inspiratif keep it up ya,positive
langkah bantu jaga nama program mbg narasi negatif lurus fakta masyarakat percaya manfaat program,positive
semangat naik mutu mbg prabowo,positive
potong anggar mbg,negative
serius ya kayak gin momen evaluasi besarbesaran mbg program henti potensi butuh masyarakat,negative
ajar kelola makan mbg simpan distribusi dukung program kelola manfaat maksimal,positive
abis baca mbg tp pgn nyoba hiu goreng,neutral
badan gizi nasional bgn kembali rp triliun anggar program makan gizi gratis mbg serap presiden prabowo kepala bgn dad hindayana total alokasi rp triliun dana stand by rp triliun,neutral
ayo baik mutu mbg kualitas dukung prabowo,positive
program mbg prabowo tunjukin peduli gizi ekonomi dapur sppg tumbuh,positive
viral ratus paket mbg siswa smp negeri medan bau busuk,negative
logika dmn anjir bayangin org susah payah masuk tni gilir dah lantik suruh ngurusin mbg,negative
mbg proyek yg cuan gede alias bisnis murni,positive
t serap buka lapang usaha sedia menu mbg gak dapur bikin menu bagi rejekinya dapur khusus nasi sayur laukpauk susu buahbuahan dll yg t kepake ditilep,negative
perintah kabupaten bangka provinsi pulau bangka belitung ketat awas laksana program makan gizi gratis,positive
susu mbg persen susu segar bgn pasti gizi optimal anak susu kemas program mbg kandung persen susu segar produksi sesuai standar bpom gizi optimal anakanak,positive
ketua komisi iii dpr ri habiburokhman aku temu masyarakat tolak program makan gizi gratis mbg dasar alam kunjung daerah pilih jakarta timur rapat dengar dapat,negative
satgas mbg ntb bantah puluh santri madrasah aliyah marif pondok pesantren baitul rahman desa bagek papan camat pringgabaya lombok timur alami sakit perut diare akibat racun santap mbg dapur,negative
bener dapet mbg liat gk sudi,negative
mbg bisnis,neutral
dapurdapur sppg sibuk berkat konsistensi prabowo jaga mbg jalan maksimal,positive
ngakakk udah gak absen mbg,neutral
hadir kerja dapur sppg mbg ngebantu roda ekonomi lokal biar putar,positive
antre mbg ya dik,neutral
program makan gizi gratis mbg makan anakanak sekolah gelas susu saji program perlahan gerak roda ekonomi nasional buka harap ribu ternak sapi perah lokal indonesia,neutral
kasih mbg pinter guoblok,negative
